Region,NTG-1M,NTG-1M,NTG-1M,NTG-1M,G20-1M,G20-1M,G20-1M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,G20-3M,G20-3M,G20-3M,G20-3M,G20-3M,G20-3M,G20-3M,NTG-6M,NTG-6M,NTG-6M,NTG-6M,NTG-6M,NTG-6M,G20-6M,G20-6M,G20-6M,G20-6M,G20-6M,NTG-9M,NTG-9M,NTG-9M,NTG-9M,NTG-9M,NTG-9M,G20-9M,G20-9M,G20-9M,G20-9M
iMOs,0.001751163,0.000828428,0.000140578,0.001656205,0.000283373,0.00035713,0.000413279,0.00293925,0.001892028,0.001820875,0.006282334,0.003254305,0.004515948,0.007007378,0.000719529,0.003036919,3.28495E-05,0.012723755,0.002585143,0.001752271,0.000729263,0.000339298,0.009412775,0.000934716,0.00118031,0.007000676,0.005514263,0.005239389,0.00349644,0.004430336,0.002046406,0.00359506,0.002698119,0.002669345,0.013961358,0.029627603,0.004651041,0.003720501,0.013666785,0.006204725,0.012796243,0.01520447,0.004994008
iORB,0.000912415,0.000456207,0.000803428,0.000215694,0.00070363,8.53685E-05,0.000855,0.00178371,0.002636729,0.00639374,0.000233902,0.0020171,0.000539367,0.003965425,0.000834911,0.00073449,0.000185681,0.00150464,0,0.001787295,0.00279974,0.078976885,0.004565,0.000205931,0.000390734,0,0.018415305,0.00183823,0.0008841,0.00071547,0.00685791,0.00117122,0.000725375,0.002146664,0.00224686,0.00811457,0.003706615,0.000917935,0.003489905,0.003189811,0.03822785,0.003118195,0.004699435
iPL,0,0,0.000660305,0,0,0,0,0,0,0,0.0026229,0.001976755,0.0307838,0,0,0,0,0.1405535,0,0,0,0,0,0.002961595,0,0.00442282,0.00851425,0,0,0,0.00234505,0.00664585,0.004246285,0,0,0,0,0.005063775,0,0.01816295,0,0.001405,0.0078781
iAOB,0.01348893,0.0013832,0.00103789,0,0.00103756,0,0.00346,0,0.002140705,0,0.0034587,0,0.0051868,0,0,0,0.01521192,0,0,0.003121805,0,0.008339895,0,0.354359,0.00135912,0,0.000234053,0.02116855,0.2510321,0.002669242,0.00360727,0.13845685,0.18820185,0.00119425,0.7815375,5.804555,0.461587,2.226865,8.32867,11.8958,25.79925,7.36243,25.9715
iMOB,0.00328977,0.000725335,0.001368045,0.00208255,0.003596125,0.000398306,0.002977,0.000522847,0.00163357,0.001841624,0.00089056,0.005294385,0.005404715,0.00324646,0.002552195,0.00382621,0.00175909,0.000882466,0.001440035,0.001107243,0.002873225,0.00083276,0.0005805,0.001345514,0.00062739,0.000790372,0.001826746,0.005042545,0.00010978,0.000175644,0.000219354,0.006628975,0.00326954,0.004992,0.00976063,0.02196105,0.004192035,0.004465758,0.02009645,0.005888255,0.0450745,0.00597572,0.02666025
cMOs,0.001269347,0.001241383,0.001512277,0.000159977,0.001563005,0.000750219,0,0.00241004,0.003837211,0,0.000331968,0.006621515,0.015132773,0.003988578,0.000238237,0.001105674,0.00007249,0.002654278,0.002094962,0.002671478,0.001229637,0.00017196,0.01222685,0.00145144,0.001303617,0.001180176,0.002696623,0.001352324,0.000271142,0.000810522,0.001728466,0.01055239,0.001544113,0.001953695,0.008902508,0.003143335,0.000654258,0.001058425,0.00822825,0.0045717,0.009109061,0.000619026,0.003063538
cORB,0.00609425,0.00053793,0,0.00192296,6.20215E-05,0,0.000765,0.01366795,0.000268861,0.00322053,3.90138E-05,0.006252725,0.0056777,0.00029528,0.000663454,0.006168625,0,0.001431731,0.000782359,0.000342737,0.001277447,0,0.00305,0.000273665,0.00294043,0.00126761,0.002583645,0.00312469,0.001196013,0.001982852,0.002758558,0.004385405,0.002970475,0.000396694,0.00071734,0.000994272,0.002241235,0.000762055,0.001982065,0.003288801,0.003626455,0.000980066,0.005493465
cPL,0,0,0,0,0,0,0,0,0,0.001813435,0.00481603,0.0407498,0.0182305,0.001621325,0,0.003478985,0,0.0234874,0,0.001421465,0,0.030524385,0,0,0,0,0,0,0.0116557,0,0.00101974,0.00293049,0,0.00120308,0,0.001089395,0.0055952,0,0.001356375,0,0.001782785,0.000626785,0
cAOB,0.004144095,0.00075301,0,0,0,0.001995,0.0003985,0,0,0,0,0.00226043,0.000376736,0,0,0,0.00153812,0.004221785,0,0,0,0.00398902,0,0.00104176,0.003855275,0,0,0.00206058,0.00092384,0,0.00155416,0.00100776,0,0,0.006914,0,0,0.00163,0,0,0.005998103,0.000335,0.0157854
cMOB,0.001140051,0.001512175,0.001330195,0.000837554,0.000192148,0.001730465,0.0011385,0.00074545,0.000337875,0.001529445,0.001296845,0.00266257,0.001588347,0.001712807,0.000489733,0,0.001988034,0.000484801,0.000739058,0.000929751,0.001606115,0.001069287,0.0003425,0.000570314,0.00176457,0.000351243,0.00432072,0.00274778,0.000767711,0.000778429,0.0023873,0.00207052,0.001462826,0.000595474,0.002393,0.01181714,0.000910752,0,0.00163915,0.005476705,0.001040616,0.000571072,0.002265725
iACA,0.000098455,0.000585245,0.013456155,0.003025,0.000694955,0.00127544,9.86005E-05,0.005941467,0.000841584,0.02355865,0.00559614,0.000265137,0.008394845,0.000314792,0.000143409,0.000352032,0.00113573,0.000326482,0.01024643,0.00053,0,0,0.0462463,0.001523894,0.01058719,0.02491875,0.029040015,0.010615635,0.005692506,0.0301762,0.009691435,0.007030955,0.01766714,0.04361445,0.04969665,0.0320996,0.012109895,0.01691935,0.02149975,0.02914955,0.0293277,0.010026745,0.0493829
iMOp,0.00094602,0,9.83115E-05,0.0000965,0.001197471,0.000136404,0.002815805,0.002739095,0.001262905,0.000116603,0.0077974,0.001006431,0.000146956,0.000591788,0.000296436,0.000053357,0.00152084,0.00051389,0.00156086,0.000903029,0.000132468,0,0.007308484,0.000662428,0.003883532,0.001709425,0.000179315,0.000461028,0.00468259,0.00190577,0.000483029,0.003141049,0.001097264,0.001820472,0.00435776,0.001259597,0.00198817,0.00078943,0.00212217,0.007751005,0.004843495,0.000396336,0.001246138
iSSp-m,0.000338895,0.000644768,0.00210525,0.0009655,0.000197081,0.000728964,0.000613685,3.36725E-05,0.000639816,0.000310302,0.000764861,0.000205665,0.00081668,0.000270644,0.001170313,0.001526484,0,0.000508664,0.001640354,0.002233865,0.000462397,0.000213625,0.00447143,0.000813709,0.002990805,0.000604972,0.001157445,0.000766973,0.000565515,0.000494378,0.001673435,0.004184995,0.000206939,0.000791741,0.00786585,0.003074135,0.001083821,0.00231625,0.00127531,0.001286335,0.000977334,0.000654148,0.00097814
iSSs,0.000508827,0.000630218,0,0.000578833,0.000494175,0,0.000689891,0,0.0025843,0.000170503,,0.000386547,0.000567135,0.001831053,0.000511112,0.002116558,0.001411703,0.00299485,0.00095436,0.000485,0.000687729,0.000870369,0.032114719,0.019754661,0.003922564,0.01035629,0.000200014,0.007557381,0.02375415,0.004866688,0.0381685,0.001543783,0.000385207,0.02480886,0.027465468,0.010927501,0.008305492,0.00565872,0.017648398,0.0137684,0.046690398,0.007543783,0.00205444
iGU,0.004501942,0,0,0,0,0,0,0,0,0.001402565,0,0.00110614,0,0.0002802,0,0,0.000311085,0.001315615,0.0081203,0.00070648,0,0.00057876,0.0202472,0.00019426,0.00102111,0,0.000574025,0.00114804,0.000240966,0.000908035,0.001343349,0.010187945,0.00219585,0.00270868,0.01215,0.000463111,0.007401355,0.000445,0.01445205,0.002546905,0.000694635,0.00138897,0.004322375
iAI,0.002435815,0.000113123,0.000128262,0,0.001747415,0.002568479,0.000254527,0.000288728,0.001207115,0,0,0,0,0.00013936,0.00174219,0.001048123,0.001740548,0.006272665,0.00575222,0.001507545,0.000991585,0.002385135,0.006182215,0.001788335,0,0.008191195,0.00305016,0.002959508,0.01486503,0.0028988,0.07308455,0.04728907,0.01659274,0.00139844,0.020054135,0.00359769,0.00339184,0.008251845,0.06769855,0.001624698,0.008694855,0.016319865,0.022970775
