id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv
189569318,3,17355,7103910,813228,278382000,124874000,0.114476,17.5782,17.5218,0.321202
189563026,3,16247,6853920,714992,276397000,101640000,0.104319,14.8295,14.8295,0.26218
189570701,3,111220572,209814,17315.2,7325350,2305970,0.0825265,10.9905,10.9905,0.138343
189564576,3,16578,2902430,308928,113982000,42234200,0.106438,14.5513,14.5513,0.19462
189562427,3,16108,2307830,88552.4,43414400,13848400,0.0383704,6.00059,6.00051,0.651012
189567090,3,16984,2762550,294197,108619000,43790400,0.106495,15.8514,15.8514,0.142898
189554489,3,678,1328820,199291,65474000,28150100,0.149975,21.1842,21.1842,0.0968529
189562903,3,16212,8147780,830436,319570000,115882000,0.101922,14.2225,14.2225,0.323397
189569821,3,17493,279752,33880.2,12493200,4933660,0.121108,17.6358,17.6358,0.0535938
189557120,3,1126,69938,8952.62,3524460,1204540,0.128008,17.223,17.223,0.00942298
189563546,3,16359,734349,85613.6,31376900,12283000,0.116584,16.7263,16.7263,0.172842
189556128,3,928,30527900,1318470,1108070000,187451000,0.0431889,6.14029,6.14029,0.404625
189553516,3,639,2410750,119771,44965300,17604900,0.0496821,7.30267,7.22532,0.833394
189569116,3,17303,349690,47667.5,16486000,6954160,0.136314,19.8866,19.8866,0.0567125
189569394,3,17370,384659,52659.6,16882600,8062770,0.136899,20.9608,20.9608,0.0661563
189550325,3,329,47906500,6557580,2085850000,922335000,0.136883,19.2528,19.2527,0.240522
189555149,3,761,139876,20273.8,7044210,2803560,0.144942,20.0432,20.0432,0.0817594
189567372,3,17045,594473,59106.5,22960200,9337080,0.0994267,15.7065,15.7065,0.0660315
189554375,3,652,69938,10427.1,3486540,1455550,0.149091,20.812,20.812,0.0598558
189562841,3,16191,4196280,437111,170420000,60915400,0.104166,14.5165,14.5165,0.263381
189555726,3,867,4650880,495138,185295000,73526800,0.106461,15.8092,15.8092,0.234389
189549829,3,248,977214,92706,30629100,14242600,0.0948676,14.5748,14.5693,0.33727
189556228,3,958,2762550,294417,120920000,40810700,0.106574,14.7728,14.7728,0.142888
189563772,3,16408,34969,3729.77,1329120,488439,0.106659,13.9678,0,0
189564036,3,16473,1503670,173367,64056600,25057900,0.115296,16.6645,16.6645,0.128614
189570696,3,17734,17256.2,22.8528,28933,3904.64,0.00132433,0.226275,0,0
189566951,3,16939,55441500,2229120,1831930000,328196000,0.0402066,5.91968,5.90475,0.436132
189550491,3,353,5379850,775138,248561000,111933000,0.144082,20.8061,20.7999,0.193976
189566563,3,16844,1713480,143790,62001400,20472000,0.0839167,11.9476,11.9476,0.351321
189555048,3,735,1743540,89113.6,33735500,13176400,0.0511108,7.55726,7.56356,0.529746
189569720,3,17478,5475580,623982,235628000,92804800,0.113957,16.9488,16.9227,0.256763
189549188,3,53,104907,12810.3,4488130,1929580,0.122111,18.3932,18.3932,0.0661353
189558930,3,15785,3280750,355712,123804000,50226700,0.108424,15.3095,15.2848,0.356439
189558052,3,15628,826950,63305,25199400,8235830,0.0765524,9.95928,9.82236,0.591183
189568166,3,17134,664411,62602.2,26186200,9800090,0.0942221,14.75,14.75,0.192006
189571014,3,111220824,1398760,182995,59500200,27886200,0.130826,19.9363,19.9363,0.0763454
189569500,3,17418,6003850,722658,249758000,109816000,0.120366,18.2909,18.2744,0.213104
189565425,3,16691,769318,66078.1,29239400,8974010,0.0858918,11.6649,11.6649,0.353933
189556037,3,894,3857750,459090,154241000,67060700,0.119005,17.3834,17.2913,0.440931
189565888,3,16730,279752,35741,11952500,5134230,0.12776,18.3528,18.3528,0.159669
189565935,3,16737,454597,50035.1,18382200,7617640,0.110065,16.7569,16.7569,0.113222
189570035,3,17512,390946,21801,9858260,3391940,0.0557647,8.67624,8.22111,0.779535
189561387,3,16028,6993800,1000060,316285000,136969000,0.142992,19.5843,19.5843,0.0975916
189555071,3,746,5979700,630770,240884000,88140100,0.105485,14.7399,14.7399,0.233012
189568694,3,17253,2725950,198584,88231300,32357200,0.0728495,11.8701,11.5758,0.458506
189563175,3,16279,34969,4708.74,1707130,642017,0.134655,18.3596,0,0
189563119,3,16267,454597,54497.2,20483200,7387750,0.11988,16.2512,16.2512,0.113282
189551735,3,505,244783,35761.3,11695800,4861900,0.146094,19.8621,19.8621,0.0352701
189560891,3,15986,6222610,294868,134553000,46108600,0.0473867,7.40986,7.30872,0.868375
189557881,3,15601,2900270,281857,102879000,37665000,0.097183,12.9867,12.9787,0.407748
189565902,3,16732,3741680,432889,152599000,62731000,0.115694,16.7654,16.7654,0.126438
189569668,3,17463,728022,75973.3,27307400,12058400,0.104356,16.5633,16.5089,0.216648
189551911,3,525,839256,94484.4,34577400,13855200,0.112581,16.5089,16.5089,0.226934
189565260,3,16683,839256,95869.9,35326300,12904000,0.114232,15.3756,15.3756,0.082132
189563450,3,16328,6853920,637862,258358000,90702100,0.0930652,13.2336,13.2336,0.321314
189559580,3,15848,798151,7663.46,4228050,1078500,0.00960152,1.35124,1.32947,1.30781
189568097,3,17121,489562,47733.8,18986000,7491780,0.0975031,15.303,15.303,0.158243
189565641,3,16715,34969,3663.52,1343980,515818,0.104765,14.7507,0,0
189555592,3,826,8941770,847955,320905000,119381000,0.0948308,13.3509,13.2969,0.445496
189554574,3,693,2027070,238394,83692200,33290400,0.117605,16.4229,16.4194,0.274313
189563892,3,16443,1049070,107156,41066300,14020800,0.102144,13.3649,13.3649,0.176644
189566969,3,16954,1084040,90378.5,39860300,13532100,0.083372,12.483,12.483,0.321169
