id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv
254952374,79556696,16907,488159,49787.9,22973300,7771720,0.101991,15.9205,15.8935,0.2891
254953663,79556696,17314,33260.9,3412.14,1572000,522365,0.102587,15.7051,0,0
254950922,79556696,16546,104744,11545.2,5511710,1788420,0.110223,17.0742,17.0718,0.239899
254943158,79556696,165,2620810,333528,140063000,53292700,0.127261,20.3344,20.2174,0.249369
254948219,79556696,15908,8265530,896087,516642000,146707000,0.108413,17.7493,17.8282,0.33343
254944811,79556696,602,139876,13378.8,7350910,1970110,0.0956476,14.0847,14.0847,0.214671
254952724,79556696,16990,2202120,226599,99890700,34635200,0.102901,15.7281,15.6524,0.200674
254945168,79556696,698,145760000,16867400,7761610000,2773690000,0.115721,19.0291,19.0286,0.402849
254949265,79556696,16139,583082,75430.9,32676200,13148500,0.129366,22.55,22.9723,0.299866
254953853,79556696,17381,1077830,79894.9,35199700,12128700,0.0741256,11.2529,11.5063,0.383875
254950232,79556696,16364,2213630,217714,94662700,34860400,0.0983516,15.7481,15.8553,0.271084
254950906,79556696,16541,1358030,154545,67569300,24764600,0.1138,18.2356,18.1925,0.102147
254953716,79556696,17330,656263,58360.3,26158000,8903380,0.0889282,13.5668,13.6454,0.244054
254954120,79556696,17606,33989.8,2860.58,1655870,447798,0.08416,13.1745,0,0
254950180,79556696,16332,3370990,375429,162987000,57540900,0.111371,17.0694,17.1623,0.233317
254954193,79556696,111220810,68549.1,3088.82,2188910,421075,0.0450599,6.14268,6.13015,0.142663
254948879,79556696,16044,7753040,1033690,441458000,173442000,0.133327,22.3708,22.3088,0.408605
254951846,79556696,16751,3334800,321499,156264000,48984500,0.0964073,14.6889,14.8014,0.295466
254946756,79556696,10698,1063270,120839,61820100,18482800,0.113648,17.3829,17.3134,0.235231
254947176,79556696,15666,7928210,842951,369194000,127637000,0.106323,16.0991,16.1263,0.437712
254952175,79556696,16847,721379,97759.3,41307200,15400000,0.135517,21.348,21.5385,0.151721
254949289,79556696,16146,321969,17848.6,11271100,3203080,0.0554358,9.94842,10.0454,0.434158
254954161,79556696,111220704,314978,33362,14981800,5101700,0.105918,16.197,16.2662,0.0892198
254943463,79556696,239,8999470,1001800,456048000,156020000,0.111318,17.3365,17.3567,0.233791
254948253,79556696,15914,6292220,295135,227469000,50271900,0.0469048,7.98954,7.98096,0.871219
254954031,79556696,17483,97146.2,15135.5,6189110,2377670,0.155801,24.4751,24.4511,0.0634493
254945702,79556696,867,3367250,407216,179190000,64979100,0.120934,19.2974,19.0698,0.268157
254946936,79556696,15583,209513,30586.3,13081700,4710420,0.145988,22.4827,22.4867,0.215608
254944488,79556696,487,383468,40738.3,19563900,6238200,0.106237,16.2678,16.452,0.395975
254950404,79556696,16404,139823,20295.9,8044100,3204180,0.145154,22.9159,22.9161,0.147862
254946276,79556696,1048,11487100,991738,466044000,149057000,0.0863351,12.9761,12.8778,0.190003
254953594,79556696,17292,5807730,510579,235635000,77171800,0.0879136,13.2878,13.2672,0.365182
254944116,79556696,407,7731330,925088,412987000,160965000,0.119655,20.8198,20.6941,0.334012
254947029,79556696,15603,314721,41938.7,18362100,6039050,0.133257,19.1886,19.1886,0.0915776
254945406,79556696,774,732719,120977,51666200,22133000,0.165107,30.2067,30.6043,0.280017
254945235,79556696,715,3662690,473363,195276000,82994400,0.129239,22.6594,23.1547,0.281288
254952406,79556696,16926,5441750,276581,318102000,46713500,0.0508258,8.58427,8.6526,0.419642
254953977,79556696,17442,34969,3247.22,1657180,528102,0.0928599,15.102,0,0
254950576,79556696,16447,146196,17258.6,7208300,2664430,0.118051,18.225,18.4708,0.098951
254950901,79556696,16538,773615,82568.5,37272500,13403300,0.106731,17.3255,17.3298,0.243015
254943205,79556696,189,872323,115364,46350200,17552000,0.132249,20.121,20.1215,0.124029
254953251,79556696,17196,357518,32659.1,15364500,4949160,0.0913496,13.8431,13.8324,0.123195
254954034,79556696,17487,2833660,320383,149336000,50151100,0.113063,17.6983,17.7323,0.21548
254946049,79556696,955,2128260,185980,93291000,29181600,0.0873859,13.7115,13.7079,0.306503
254954240,79556696,127201621,34420.4,3981.53,1795580,631451,0.115674,18.3453,0,0
254943621,79556696,280,53618.4,4907.76,2425990,803353,0.0915313,14.9828,15.2082,0.766258
254946077,79556696,966,2089600,267767,106634000,41025100,0.128143,19.6329,19.6384,0.157047
254953969,79556696,17437,6280520,531382,235207000,80120500,0.084608,12.757,12.8138,0.312455
254947998,79556696,15817,1047700,81140.6,45468400,12057600,0.0774466,11.5086,11.5185,0.498174
254948512,79556696,15953,349690,39861.5,16368800,6206820,0.113991,17.7495,17.7495,0.504132
254953684,79556696,17319,457143,31210.7,15879700,4722860,0.0682735,10.3313,10.436,0.266214
254948084,79556696,15859,734147,86289,37921400,12803600,0.117536,17.4401,17.44,0.126107
