"","Mapt_RP_071204_01_D02"
"iMOs",23.9334
"iORB",22.9880666666667
"iPL",23.0809
"iAOB",18.2969
"iMOB",14.6553
"cMOs",23.9334
"cORB",22.9880666666667
"cPL",23.0809
"cAOB",18.2969
"cMOB",14.6553
"iACA",21.33745
"iMOp",21.9999
"iSSp-m",23.3814
"iSSs",22.3442
"iGU",25.2753
"iAI",24.06315
"iCLA",16.8937
"iEPd",17.6882
"iPIR",23.3783
"iCP",12.1095
"iLS",14.2245666666667
"iMS",18.88365
"iACB",13.9333
"iSI",16.468
"iOT",10.2873
"cACA",21.33745
"cMOp",21.9999
"cSSp-m",23.3814
"cSSs",22.3442
"cGU",25.2753
"cAI",24.06315
"cCLA",16.8937
"cEPd",17.6882
"cPIR",23.3783
"cCP",12.1095
"cLS",14.2245666666667
"cMS",18.88365
"cACB",13.9333
"cSI",16.468
"cOT",10.2873
"iRSP",19.8352333333333
"iSSp-bfd",20.958575
"iVISC",23.9209
"iAIp",22.9609
"iEP",18.66055
"iCA1",16.494
"iCA2",14.1722
"iCA3",22.4502
"iDG",19.9716
"iLD",17.8097
"iMD",18.3395833333333
"iVAL",14.05974
"iSMT",18.9859
"iHY",18.7211
"iGP",10.19272
"iCEA",18.2393
"iBLAa",18.63655
"iMEA",17.3106
"iBMA",23.0824
"iCOAa",18.8878
"cRSP",19.8352333333333
"cSSp-bfd",20.958575
"cVISC",23.9209
"cAIp",22.9609
"cEP",18.66055
"cCA1",16.494
"cCA2",14.1722
"cCA3",22.4502
"cDG",19.9716
"cLD",17.8097
"cMD",18.3395833333333
"cVAL",14.05974
"cSMT",18.9859
"cHY",18.7211
"cGP",10.19272
"cCEA",18.2393
"cBLAa",18.63655
"cMEA",17.3106
"cBMA",23.0824
"cCOAa",18.8878
"iVISa",19.8371
"iAUD",23.9422
"iTEa",23.8358
"iECT",21.9325
"iPERI",24.6581
"iENTl",22.9793
"iBLAp",23.5085333333333
"iTR",25.2389
"iCOAp",19.5865
"iSUB",17.8736666666667
"iPT",18.925
"iPAG",19.8859
"iDpM",17.3488333333333
"iTHp",18.24434
"iZI",NA
"iVTA",18.8508
"iSN",16.49145
"iSUM",18.0667
"iMM",17.9831
"cVISa",19.8371
"cAUD",23.9422
"cTEa",23.8358
"cECT",21.9325
"cPERI",24.6581
"cENTl",22.9793
"cBLAp",23.5085333333333
"cTR",25.2389
"cCOAp",19.5865
"cSUB",17.8736666666667
"cPT",18.925
"cPAG",19.8859
"cDpM",17.3488333333333
"cTHp",18.24434
"cZI",NA
"cVTA",18.8508
"cSN",16.49145
"cSUM",18.0667
"cMM",17.9831
"iVISp",20.2744666666667
"iSC",16.91175
"iMRN",16.371
"iIP",10.8225
"cVISp",20.2744666666667
"cSC",16.91175
"cMRN",16.371
"cIP",10.8225
"iPAR",16.3252
"iPRE",16.383
"iPOST",16.4993
"iPRN",15.4325333333333
"cPAR",16.3252
"cPRE",16.383
"cPOST",16.4993
"cPRN",15.4325333333333
